127.0.0.1 - - [09/Sep/2024:20:03:57 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
127.0.0.1 - - [09/Sep/2024:20:04:15 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
::1 - - [09/Sep/2024:20:04:29 +0200] "GET / HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:29 +0200] "GET /install.php HTTP/1.1" 200 14670 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:35 +0200] "GET /pix/moodlelogo.png HTTP/1.1" 200 17293 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:35 +0200] "GET /install/css.php HTTP/1.1" 200 769055 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:35 +0200] "GET /theme/clean/pix/favicon.ico HTTP/1.1" 404 1197 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:47 +0200] "POST /install.php HTTP/1.1" 200 4643 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:04:47 +0200] "GET /install/css.php HTTP/1.1" 200 769055 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
127.0.0.1 - - [09/Sep/2024:20:05:15 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
127.0.0.1 - - [09/Sep/2024:20:05:49 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
127.0.0.1 - - [09/Sep/2024:20:06:07 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
::1 - - [09/Sep/2024:20:06:53 +0200] "POST /install.php HTTP/1.1" 200 4731 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
::1 - - [09/Sep/2024:20:06:54 +0200] "GET /install/css.php HTTP/1.1" 200 769055 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
127.0.0.1 - - [09/Sep/2024:20:07:07 +0200] "GET /wpad.dat HTTP/1.1" 404 1053 "-" "WinHttp-Autoproxy-Service/5.1"
::1 - - [09/Sep/2024:20:07:19 +0200] "POST /install.php HTTP/1.1" 200 5250 "http://localhost/install.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"
